time	V(Vout1,Vout2)	V(vin1)	V(vin2)	V(vout1)	V(vout2)
9.502999999676813e-003	-3.809813e+000	3.110071e-001	-1.555035e-001	8.190187e+000	1.200000e+001
9.600656249676813e-003	-3.789780e+000	2.502574e-001	-1.251287e-001	8.210203e+000	1.199998e+001
9.698312499676813e-003	-3.768559e+000	1.892722e-001	-9.463609e-002	8.230851e+000	1.199941e+001
9.795968749676812e-003	-3.709486e+000	1.281088e-001	-6.405442e-002	8.270433e+000	1.197992e+001
9.893624999676812e-003	-2.871541e+000	6.682494e-002	-3.341247e-002	8.698896e+000	1.157044e+001
9.991281249676812e-003	-3.278103e-001	5.478146e-003	-2.739073e-003	9.976826e+000	1.030464e+001
1.008893749967681e-002	2.501740e+000	-5.587381e-002	2.793690e-002	1.139158e+001	8.889842e+000
1.018659374967681e-002	3.652533e+000	-1.171732e-001	5.858659e-002	1.196288e+001	8.310345e+000
1.028424999967681e-002	3.734581e+000	-1.783623e-001	8.918113e-002	1.199890e+001	8.264317e+000
1.038190624967681e-002	3.746765e+000	-2.393835e-001	1.196917e-001	1.199997e+001	8.253202e+000
1.047956249967681e-002	3.756835e+000	-3.001794e-001	1.500897e-001	1.200000e+001	8.243164e+000
1.066092410681967e-002	3.775434e+000	-4.131676e-001	2.065838e-001	1.200000e+001	8.224565e+000
1.084228571396252e-002	3.793669e+000	-5.239375e-001	2.619688e-001	1.200000e+001	8.206331e+000
1.102364732110538e-002	3.811538e+000	-6.324891e-001	3.162445e-001	1.200000e+001	8.188462e+000
1.120500892824824e-002	3.829042e+000	-7.388222e-001	3.694111e-001	1.200000e+001	8.170958e+000
1.138637053539109e-002	3.846180e+000	-8.429370e-001	4.214685e-001	1.200000e+001	8.153820e+000
1.156773214253395e-002	3.862954e+000	-9.448335e-001	4.724167e-001	1.200000e+001	8.137046e+000
1.174909374967681e-002	3.879362e+000	-1.044512e+000	5.222558e-001	1.200000e+001	8.120638e+000
1.194440624967681e-002	3.896255e+000	-1.147133e+000	5.735666e-001	1.200000e+001	8.103745e+000
1.213971874967680e-002	3.912437e+000	-1.245437e+000	6.227186e-001	1.200000e+001	8.087563e+000
1.233503124967680e-002	3.927849e+000	-1.339054e+000	6.695269e-001	1.200000e+001	8.072151e+000
1.243268749967680e-002	3.935246e+000	-1.383993e+000	6.919967e-001	1.200000e+001	8.064754e+000
1.253034374967680e-002	3.942430e+000	-1.427630e+000	7.138152e-001	1.200000e+001	8.057570e+000
1.262799999967680e-002	3.949392e+000	-1.469924e+000	7.349619e-001	1.200000e+001	8.050608e+000
1.272565624967680e-002	3.956127e+000	-1.510834e+000	7.554169e-001	1.200000e+001	8.043873e+000
1.282331249967680e-002	3.962627e+000	-1.550322e+000	7.751609e-001	1.200000e+001	8.037373e+000
1.292096874967680e-002	3.968887e+000	-1.588351e+000	7.941754e-001	1.200000e+001	8.031113e+000
1.301862499967680e-002	3.974902e+000	-1.624885e+000	8.124424e-001	1.200000e+001	8.025098e+000
